,high_price,low_price,open_price,close_price,average_price,volume,buy_volume,sell_volume,average_price_last_3h,average_price_last_1h,hour,dayahead
2023-01-01 00:00:00+01:00,16.99,-2.05,1.6,-0.9,6.45,227.7,167.7,60.0,0.62,,0,2.01
2023-01-01 01:00:00+01:00,9.9,-4.5,0.9,-3.88,2.56,225.6,190.6,35.0,-1.02,,1,1.38
2023-01-01 02:00:00+01:00,9.9,-14.9,1.0,-5.3,-1.25,310.2,185.9,127.5,-8.01,,2,0.09
2023-01-01 03:00:00+01:00,4.8,-14.9,-0.1,-5.0,-3.56,240.8,142.4,100.7,-4.93,,3,0.08
2023-01-01 04:00:00+01:00,4.0,-7.23,-0.1,-5.3,-1.08,213.0,156.4,107.3,-6.11,,4,0.05
2023-01-01 05:00:00+01:00,10.48,-7.2,-0.1,-3.0,-1.21,158.4,106.2,85.2,-4.78,,5,0.0
2023-01-01 06:00:00+01:00,28.05,-7.4,-0.1,-6.2,0.65,187.8,119.2,118.6,-2.97,,6,-0.38
2023-01-01 07:00:00+01:00,6.7,-6.0,0.1,-1.0,-1.03,178.4,139.3,89.1,-1.69,,7,0.0
2023-01-01 08:00:00+01:00,26.5,-6.9,26.5,-1.5,-1.55,318.3,146.8,179.4,-2.49,,8,0.0
2023-01-01 09:00:00+01:00,27.87,-5.6,27.87,-0.22,-1.11,139.7,101.1,112.9,-0.88,,9,0.04
2023-01-01 10:00:00+01:00,33.53,-5.8,33.53,-5.8,-2.12,125.1,85.2,42.8,-2.17,,10,0.8
2023-01-01 11:00:00+01:00,40.5,-8.5,40.5,-8.5,-2.51,113.1,58.6,57.8,-3.66,,11,0.08
2023-01-01 12:00:00+01:00,40.51,-23.5,40.51,-22.92,-1.9,424.1,220.8,300.1,-5.07,,12,0.04
2023-01-01 13:00:00+01:00,41.59,-17.29,41.59,-11.19,-5.26,368.9,155.9,233.5,-9.2,,13,0.0
2023-01-01 14:00:00+01:00,41.06,-8.5,41.06,-5.0,1.86,418.9,304.2,228.2,-4.3,,14,0.85
2023-01-01 15:00:00+01:00,36.44,10.02,23.4,30.36,26.31,435.4,271.5,163.9,28.33,,15,23.53
